"","carID","source","sourceTime","target","targetTime","type","value"
"1","20162115122140-860",14,"2016-01-15 09:23:07",15,"2016-01-15 09:21:40","2P",1
"2","20162115122140-860",15,"2016-01-15 09:27:56",25,"2016-01-15 09:23:07","2P",1
"3","20162115122140-860",25,"2016-01-15 09:28:52",26,"2016-01-15 09:27:56","2P",1
"4","20162115122140-860",26,"2016-01-15 09:29:52",30,"2016-01-15 09:28:52","2P",1
"5","20162115122140-860",30,"2016-01-15 09:42:15",8,"2016-01-15 09:29:52","2P",1
"6","20162115122140-860",8,"2016-01-15 09:54:11",29,"2016-01-15 09:42:15","2P",1
"7","20162115122140-860",29,"2016-01-15 10:29:13",29,"2016-01-15 09:54:11","2P",1
"8","20162115122140-860",29,"2016-01-15 10:41:05",8,"2016-01-15 10:29:13","2P",1
"9","20162115122140-860",8,"2016-01-15 10:47:45",9,"2016-01-15 10:41:05","2P",1
"10","20162115122140-860",9,"2016-01-15 10:58:23",1,"2016-01-15 10:47:45","2P",1
"11","20162115122140-860",1,"2016-01-15 11:00:53",2,"2016-01-15 10:58:23","2P",1
"12","20162115122140-860",2,"2016-01-15 11:53:55",2,"2016-01-15 11:00:53","2P",1
"13","20162115122140-860",2,"2016-01-15 11:56:47",3,"2016-01-15 11:53:55","2P",1
"14","20162115122140-860",3,"2016-01-15 11:59:50",4,"2016-01-15 11:56:47","2P",1
"15","20162115122140-860",4,"2016-01-15 12:10:50",5,"2016-01-15 11:59:50","2P",1
"16","20162115122140-860",5,"2016-01-15 12:20:13",15,"2016-01-15 12:10:50","2P",1
"17","20162115122140-860",15,"2016-01-15 12:21:43",14,"2016-01-15 12:20:13","2P",1
"18","20154414094406-360",0,"2015-06-14 07:06:04",1,"2015-06-14 06:44:06","1",1
"19","20154414094406-360",1,"2015-06-14 07:08:51",2,"2015-06-14 07:06:04","1",1
"20","20154414094406-360",2,"2015-06-14 07:12:08",3,"2015-06-14 07:08:51","1",1
"21","20154414094406-360",3,"2015-06-14 07:15:33",4,"2015-06-14 07:12:08","1",1
"22","20154414094406-360",4,"2015-06-14 07:27:52",5,"2015-06-14 07:15:33","1",1
"23","20154414094406-360",5,"2015-06-14 07:32:19",21,"2015-06-14 07:27:52","1",1
"24","20154414094406-360",21,"2015-06-14 07:41:27",23,"2015-06-14 07:32:19","1",1
"25","20154414094406-360",23,"2015-06-14 07:41:36",23,"2015-06-14 07:41:27","1",1
"26","20154414094406-360",23,"2015-06-14 07:50:38",21,"2015-06-14 07:41:36","1",1
"27","20154414094406-360",21,"2015-06-14 07:57:30",6,"2015-06-14 07:50:38","1",1
"28","20163926073934-815",0,"2016-05-26 05:04:36",27,"2016-05-26 04:39:34","3",1
"29","20155222025248-836",27,"2015-05-22 11:54:20",1,"2015-05-22 11:52:48","1",1
"30","20155222025248-836",1,"2015-05-22 11:57:01",2,"2015-05-22 11:54:20","1",1
"31","20155222025248-836",2,"2015-05-22 12:00:07",3,"2015-05-22 11:57:01","1",1
"32","20155222025248-836",3,"2015-05-22 12:03:25",4,"2015-05-22 12:00:07","1",1
"33","20155222025248-836",4,"2015-05-22 12:23:44",19,"2015-05-22 12:03:25","1",1
"34","20155222025248-836",19,"2015-05-27 10:02:30",19,"2015-05-22 12:23:44","1",1
"35","20155222025248-836",19,"2015-05-27 10:15:44",5,"2015-05-27 10:02:30","1",1
"36","20155222025248-836",5,"2015-05-27 10:25:59",6,"2015-05-27 10:15:44","1",1
"37","20154331034339-123",0,"2015-07-31 12:59:04",8,"2015-07-31 12:43:39","1",1
"38","20154331034339-123",8,"2015-07-31 13:09:17",33,"2015-07-31 12:59:04","1",1
"39","20154331034339-123",33,"2015-07-31 13:09:25",33,"2015-07-31 13:09:17","1",1
"40","20154331034339-123",33,"2015-07-31 13:19:31",8,"2015-07-31 13:09:25","1",1
"41","20154331034339-123",8,"2015-07-31 13:26:51",9,"2015-07-31 13:19:31","1",1
"42","20154331034339-123",9,"2015-07-31 13:38:31",1,"2015-07-31 13:26:51","1",1
"43","20154331034339-123",1,"2015-07-31 13:41:16",2,"2015-07-31 13:38:31","1",1
"44","20154331034339-123",2,"2015-07-31 13:44:27",3,"2015-07-31 13:41:16","1",1
"45","20154331034339-123",3,"2015-07-31 13:47:48",4,"2015-07-31 13:44:27","1",1
"46","20154331034339-123",4,"2015-07-31 13:59:51",5,"2015-07-31 13:47:48","1",1
"47","20154331034339-123",5,"2015-07-31 14:10:18",6,"2015-07-31 13:59:51","1",1
"48","20152416082403-649",0,"2015-08-16 17:44:39",1,"2015-08-16 17:24:03","5",1
"49","20152416082403-649",1,"2015-08-16 17:47:18",2,"2015-08-16 17:44:39","5",1
"50","20152416082403-649",2,"2015-08-16 17:50:20",3,"2015-08-16 17:47:18","5",1
"51","20152416082403-649",3,"2015-08-16 17:53:34",4,"2015-08-16 17:50:20","5",1
"52","20152416082403-649",4,"2015-08-16 18:13:36",10,"2015-08-16 17:53:34","5",1
"53","20154728064727-282",10,"2015-07-28 04:09:51",4,"2015-07-28 03:47:27","3",1
"54","20154728064727-282",4,"2015-07-28 04:13:27",3,"2015-07-28 04:09:51","3",1
"55","20154728064727-282",3,"2015-07-28 04:16:52",2,"2015-07-28 04:13:27","3",1
"56","20154728064727-282",2,"2015-07-28 04:19:48",1,"2015-07-28 04:16:52","3",1
"57","20154728064727-282",1,"2015-07-28 04:32:20",9,"2015-07-28 04:19:48","3",1
"58","20154728064727-282",9,"2015-07-28 04:40:13",8,"2015-07-28 04:32:20","3",1
"59","20154728064727-282",8,"2015-07-28 04:51:27",28,"2015-07-28 04:40:13","3",1
"60","20154728064727-282",28,"2015-08-01 11:00:10",28,"2015-07-28 04:51:27","3",1
"61","20154728064727-282",28,"2015-08-01 11:11:21",8,"2015-08-01 11:00:10","3",1
"62","20154728064727-282",8,"2015-08-01 11:27:57",0,"2015-08-01 11:11:21","3",1
"63","20155916045927-980",10,"2015-07-16 14:19:38",4,"2015-07-16 13:59:27","5",1
"64","20155916045927-980",4,"2015-07-16 14:22:53",3,"2015-07-16 14:19:38","5",1
"65","20155916045927-980",3,"2015-07-16 14:25:58",2,"2015-07-16 14:22:53","5",1
"66","20155916045927-980",2,"2015-07-16 14:28:37",1,"2015-07-16 14:25:58","5",1
"67","20155916045927-980",1,"2015-07-16 14:49:32",0,"2015-07-16 14:28:37","5",1
"68","20151307091313-62",0,"2015-06-07 06:32:01",1,"2015-06-07 06:13:13","5",1
"69","20151307091313-62",1,"2015-06-07 06:34:26",2,"2015-06-07 06:32:01","5",1
"70","20151307091313-62",2,"2015-06-07 06:37:13",3,"2015-06-07 06:34:26","5",1
"71","20151307091313-62",3,"2015-06-07 06:40:09",4,"2015-06-07 06:37:13","5",1
"72","20151307091313-62",4,"2015-06-07 06:50:44",5,"2015-06-07 06:40:09","5",1
"73","20151307091313-62",5,"2015-06-07 06:59:57",6,"2015-06-07 06:50:44","5",1
"74","20154314034325-940",10,"2015-07-14 13:05:28",4,"2015-07-14 12:43:25","4",1
"75","20154314034325-940",4,"2015-07-14 13:09:00",3,"2015-07-14 13:05:28","4",1
"76","20154314034325-940",3,"2015-07-14 13:12:22",2,"2015-07-14 13:09:00","4",1
"77","20154314034325-940",2,"2015-07-14 13:15:16",1,"2015-07-14 13:12:22","4",1
"78","20154314034325-940",1,"2015-07-14 13:27:36",9,"2015-07-14 13:15:16","4",1
"79","20154314034325-940",9,"2015-07-14 13:35:22",8,"2015-07-14 13:27:36","4",1
"80","20154314034325-940",8,"2015-07-14 13:49:48",7,"2015-07-14 13:35:22","4",1
