"source","target","value"
"camping0","camping0",3
"camping0","general-gate7",3
"camping1","camping1",4
"camping1","entrance2",1
"camping1","general-gate0",3
"camping2","camping2",4
"camping2","general-gate7",4
"camping3","camping3",13
"camping3","entrance1",1
"camping3","general-gate7",12
"camping4","camping4",3
"camping4","general-gate7",3
"camping5","camping5",3
"camping5","general-gate7",3
"camping6","camping6",9
"camping6","entrance2",5
"camping6","general-gate5",4
"camping7","camping7",10
"camping7","general-gate6",10
"camping8","camping8",5
"camping8","general-gate2",1
"camping8","general-gate3",1
"camping8","general-gate5",3
"entrance2","camping1",4
"entrance2","camping6",9
"entrance2","general-gate2",26
"entrance2","general-gate3",5
"entrance2","general-gate6",10
"general-gate0","general-gate2",3
"general-gate1","entrance0",3
"general-gate1","entrance3",9
"general-gate1","general-gate4",26
"general-gate1","ranger-stop2",9
"general-gate2","entrance2",4
"general-gate2","general-gate5",5
"general-gate2","ranger-stop0",38
"general-gate3","camping8",5
"general-gate3","entrance2",1
"general-gate4","entrance0",4
"general-gate4","general-gate1",9
"general-gate4","general-gate7",26
"general-gate5","entrance4",8
"general-gate5","general-gate2",8
"general-gate6","camping7",10
"general-gate6","entrance2",4
"general-gate6","entrance4",2
"general-gate6","general-gate5",4
"general-gate7","camping0",3
"general-gate7","camping2",4
"general-gate7","camping3",13
"general-gate7","camping4",3
"general-gate7","camping5",3
"general-gate7","entrance3",12
"general-gate7","general-gate4",13
"ranger-stop0","general-gate2",9
"ranger-stop0","ranger-stop2",38
"ranger-stop2","general-gate1",38
"ranger-stop2","ranger-stop0",9
