"source","target","color","label","value"
"camping0","camping0",1,"2.245 horas",3
"camping0","general-gate7",1,"16.93 mins",3
"camping1","camping1",1,"3.477 horas",4
"camping1","entrance2",1,"15.32 mins",1
"camping1","general-gate0",1,"7.867 mins",3
"camping2","camping2",1,"1.751 horas",4
"camping2","general-gate7",1,"18.77 mins",4
"camping3","camping3",1,"2.806 horas",13
"camping3","entrance1",1,"11.87 mins",1
"camping3","general-gate7",1,"13.69 mins",12
"camping4","camping4",1,"3.017 horas",3
"camping4","general-gate7",1,"9.972 mins",3
"camping5","camping5",1,"2.897 horas",3
"camping5","general-gate7",1,"10.36 mins",3
"camping6","camping6",1,"3.138 horas",9
"camping6","entrance2",1,"20.27 mins",5
"camping6","general-gate5",1,"10.98 mins",4
"camping7","camping7",1,"3.429 horas",10
"camping7","general-gate6",1,"8.62 mins",10
"camping8","camping8",1,"3.746 horas",5
"camping8","general-gate2",1,"19.12 mins",1
"camping8","general-gate3",1,"0.9167 mins",1
"camping8","general-gate5",1,"13.62 mins",3
"entrance2","camping1",1,"17.5 mins",4
"entrance2","camping6",1,"20.65 mins",9
"entrance2","general-gate2",1,"20.24 mins",26
"entrance2","general-gate3",1,"6.023 mins",5
"entrance2","general-gate6",1,"13.74 mins",10
"general-gate0","general-gate2",1,"4.05 mins",3
"general-gate1","entrance0",1,"1.472 mins",3
"general-gate1","entrance3",1,"21.67 mins",9
"general-gate1","general-gate4",1,"11.36 mins",26
"general-gate1","ranger-stop2",1,"2.717 mins",9
"general-gate2","entrance2",1,"20.57 mins",4
"general-gate2","general-gate5",1,"12.06 mins",5
"general-gate2","ranger-stop0",1,"3.274 mins",38
"general-gate3","camping8",1,"1 mins",5
"general-gate3","entrance2",1,"5.9 mins",1
"general-gate4","entrance0",1,"12.69 mins",4
"general-gate4","general-gate1",1,"11.6 mins",9
"general-gate4","general-gate7",1,"7.147 mins",26
"general-gate5","entrance4",1,"10.49 mins",8
"general-gate5","general-gate2",1,"11.66 mins",8
"general-gate6","camping7",1,"8.708 mins",10
"general-gate6","entrance2",1,"14.07 mins",4
"general-gate6","entrance4",1,"7.283 mins",2
"general-gate6","general-gate5",1,"3.942 mins",4
"general-gate7","camping0",1,"17.01 mins",3
"general-gate7","camping2",1,"18.88 mins",4
"general-gate7","camping3",1,"13.86 mins",13
"general-gate7","camping4",1,"10.07 mins",3
"general-gate7","camping5",1,"10.41 mins",3
"general-gate7","entrance3",1,"14.77 mins",12
"general-gate7","general-gate4",1,"7.235 mins",13
"ranger-stop0","general-gate2",1,"3.333 mins",9
"ranger-stop0","ranger-stop2",1,"3.099 mins",38
"ranger-stop2","general-gate1",1,"2.671 mins",38
"ranger-stop2","ranger-stop0",1,"3.154 mins",9
