"source","target","value"
"camping0","camping0",34
"camping0","entrance1",4
"camping0","general-gate7",30
"camping1","camping1",7
"camping1","general-gate0",7
"camping2","camping2",42
"camping2","entrance1",5
"camping2","general-gate7",37
"camping3","camping3",110
"camping3","entrance1",15
"camping3","general-gate7",95
"camping4","camping4",45
"camping4","entrance1",2
"camping4","general-gate7",43
"camping5","camping5",38
"camping5","general-gate7",38
"camping6","camping6",64
"camping6","entrance2",4
"camping6","entrance4",2
"camping6","general-gate5",58
"camping7","camping7",51
"camping7","general-gate6",51
"camping8","camping8",22
"camping8","general-gate2",20
"camping8","general-gate5",2
"entrance2","camping1",7
"entrance2","camping6",64
"entrance2","general-gate2",482
"entrance2","general-gate3",22
"entrance2","general-gate6",51
"general-gate0","general-gate2",7
"general-gate1","entrance0",8
"general-gate1","entrance3",88
"general-gate1","general-gate4",520
"general-gate1","ranger-stop2",106
"general-gate2","entrance2",48
"general-gate2","general-gate5",58
"general-gate2","ranger-stop0",616
"general-gate3","camping8",22
"general-gate4","entrance0",35
"general-gate4","general-gate1",106
"general-gate4","general-gate7",520
"general-gate5","entrance4",60
"general-gate5","general-gate2",107
"general-gate6","camping7",51
"general-gate6","entrance2",1
"general-gate6","entrance4",1
"general-gate6","general-gate5",49
"general-gate7","camping0",37
"general-gate7","camping2",44
"general-gate7","camping3",110
"general-gate7","camping4",45
"general-gate7","camping5",38
"general-gate7","entrance1",250
"general-gate7","entrance3",98
"general-gate7","general-gate4",141
"ranger-stop0","general-gate2",106
"ranger-stop0","ranger-stop2",616
"ranger-stop2","general-gate1",616
"ranger-stop2","ranger-stop0",106
