"","carID","source","sourceTime","target","targetTime","type","value","diferenciaTiempo"
"75314","20155705025759-63",27,2015-06-05 11:57:59,1,2015-06-05 11:59:26,"1",1,87
"75315","20155705025759-63",1,2015-06-05 11:59:26,2,2015-06-05 12:02:01,"1",1,155
"75316","20155705025759-63",2,2015-06-05 12:02:01,3,2015-06-05 12:05:01,"1",1,180
"75317","20155705025759-63",3,2015-06-05 12:05:01,4,2015-06-05 12:08:11,"1",1,190
"75318","20155705025759-63",4,2015-06-05 12:08:11,5,2015-06-05 12:19:33,"1",1,682
"75319","20155705025759-63",5,2015-06-05 12:19:33,11,2015-06-05 12:29:43,"1",1,610
"75320","20155705025759-63",11,2015-06-05 12:29:43,11,2015-07-03 11:55:52,"1",1,2417169
"75321","20155705025759-63",11,2015-07-03 11:55:52,5,2015-07-03 12:05:56,"1",1,604
"75322","20155705025759-63",5,2015-07-03 12:05:56,4,2015-07-03 12:17:18,"1",1,682
"75323","20155705025759-63",4,2015-07-03 12:17:18,3,2015-07-03 12:20:29,"1",1,191
"75324","20155705025759-63",3,2015-07-03 12:20:29,2,2015-07-03 12:23:28,"1",1,179
"75325","20155705025759-63",2,2015-07-03 12:23:28,1,2015-07-03 12:26:03,"1",1,155
"75326","20155705025759-63",1,2015-07-03 12:26:03,9,2015-07-03 12:37:04,"1",1,661
"75327","20155705025759-63",9,2015-07-03 12:37:04,8,2015-07-03 12:44:01,"1",1,417
"75328","20155705025759-63",8,2015-07-03 12:44:01,12,2015-07-03 13:01:36,"1",1,1055
"75329","20155705025759-63",12,2015-07-03 13:01:36,12,2015-07-31 10:39:26,"1",1,2410670
"75330","20155705025759-63",12,2015-07-31 10:39:26,13,2015-07-31 10:55:01,"1",1,935
"75331","20155705025759-63",13,2015-07-31 10:55:01,13,2015-08-24 15:36:48,"1",1,2090507
"75332","20155705025759-63",13,2015-08-24 15:36:48,8,2015-08-24 15:50:12,"1",1,804
"75333","20155705025759-63",8,2015-08-24 15:50:12,28,2015-08-24 16:00:05,"1",1,593
"75334","20155705025759-63",28,2015-08-24 16:00:05,28,2015-09-17 06:44:02,"1",1,2040237
"75335","20155705025759-63",28,2015-09-17 06:44:02,8,2015-09-17 06:53:52,"1",1,590
"75336","20155705025759-63",8,2015-09-17 06:53:52,9,2015-09-17 07:00:46,"1",1,414
"75337","20155705025759-63",9,2015-09-17 07:00:46,1,2015-09-17 07:11:46,"1",1,660
"75338","20155705025759-63",1,2015-09-17 07:11:46,2,2015-09-17 07:14:21,"1",1,155
